Brewery1, Beer Name, Brewed in (location), ABV (alcohol volume), Style, Score, Ratings, Availability, Added On
1516 Brewing Company,1516 Lager,Austria,not listed,Munich Helles Lager,3.58,Good,Year-round,10-14-2006
1516 Brewing Company,1516 Porter,Austria,not listed,English Porter,3.75,Very Good,Rotating,12-16-2015
1516 Brewing Company,1516 Shandy,Austria,not listed,Fruit / Vegetable Beer,3.25,Okay,Year-round,04-26-2014
1516 Brewing Company,1516 Weisse,Austria,not listed,Hefeweizen,3.79,Very Good,Year-round,05-31-2008
1516 Brewing Company,HopBit,Austria,not listed,American Pale Ale (APA),3.74,Good,Summer,07-28-2013
1516 Brewing Company,No-Nonsense,Austria,not listed,American Pale Ale (APA),3.68,Good,Rotating,07-28-2015
1516 Brewing Company,NZ Victory Hop Devil IPA,Austria,6.70%,American IPA,4,Exceptional,Year-round,02-02-2007
1516 Brewing Company,Slipper Pale Ale,Austria,5.20%,American Pale Ale (APA),3.4,Okay,Rotating,11-06-2015
1516 Pub & Craft Brewery / Two Capitals,American I.P.A.,Russian Federation,4.50%,American IPA,0,,Year-round,12-08-2015
1516 Pub & Craft Brewery / Two Capitals,American Pale Ale,Russian Federation,5.50%,American Pale Ale (APA),4.5,World-Class,Year-round,12-08-2015
1516 Pub & Craft Brewery / Two Capitals,Black Swan,Russian Federation,8.50%,Russian Imperial Stout,4,Exceptional,Year-round,12-08-2015
1516 Pub & Craft Brewery / Two Capitals,Blond Ale,Russian Federation,6.50%,Belgian Pale Ale,4.12,Exceptional,Year-round,04-13-2017
1516 Pub & Craft Brewery / Two Capitals,DIPA,Russian Federation,7.50%,American Double / Imperial IPA,4.65,World-Class,Year-round,04-13-2017
1516 Pub & Craft Brewery / Two Capitals,Lazy Jack,Russian Federation,4.90%,American Pale Wheat Ale,3.38,Okay,Rotating,07-22-2015
1516 Pub & Craft Brewery / Two Capitals,Lemoncello Saison,Russian Federation,4.50%,Saison / Farmhouse Ale,4,Exceptional,Year-round,12-08-2015
1516 Pub & Craft Brewery / Two Capitals,Pilsner,Russian Federation,4.80%,German Pilsener,3.5,Good,Year-round,12-08-2015
1516 Pub & Craft Brewery / Two Capitals,Porter,Russian Federation,7.00%,English Porter,4,Exceptional,Year-round,04-13-2017
1516 Pub & Craft Brewery / Two Capitals,Stout,Russian Federation,5.60%,English Stout,4,Exceptional,Year-round,12-08-2015
16 Lots Brewing Company,1803,Ohio,5.60%,American Pale Ale (APA),0,,Year-round,09-17-2017
16 Lots Brewing Company,Homestead,Ohio,5.00%,American Amber / Red Ale,4.04,Exceptional,Year-round,09-17-2017
16 Lots Brewing Company,Muddy Creek,Ohio,5.10%,Oatmeal Stout,3.64,Good,Year-round,09-17-2017
16 Lots Brewing Company,The Major,Ohio,5.20%,German Pilsener,0,,Year-round,09-17-2017
16 Lots Brewing Company,Treaty,Ohio,5.80%,American Pale Wheat Ale,3.53,Good,Year-round,09-17-2017
16 Lots Brewing Company,War Horse,Ohio,7.00%,American IPA,0,,Year-round,09-17-2017
